GID,A00,A10,A20,A30,A40,A50,A60,TOTAL,WD_A00,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A00,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
다사608477,286.8277,161.136,300.9686,148.1388,316.6833,72.8616,239.9858,1526.6017999999997,353.5008,238.4582,413.6809,97.4054,472.4372,94.0397,248.7205,1918.2427000000002,369.6242,211.3915,193.7113,118.9239,467.9014,105.6753,333.9851,1801.2126999999996
다사608478,143.0211,301.0952,105.7707,218.1508,328.433,362.7768,471.1292,1930.3768000000002,138.9512,229.2527,133.5351,240.0945,434.9046,361.8136,489.4261,2027.9778000000001,143.0878,405.9735,147.6728,238.7187,371.066,191.0237,439.8334,1937.3758999999998
다사609479,88.0762,283.3709,379.6087,345.693,238.8425,129.2693,9.0998,1473.9603999999997,104.8682,285.9021,295.08,261.394,322.3231,164.0086,12.1445,1445.7205000000001,83.7024,239.4496,229.8303,493.2237,343.5493,173.7236,5.3218,1568.8007000000002
다사609480,362.2907,78.831,241.637,349.9312,15.3774,16.8419,374.7092,1439.6184,233.5224,80.9731,241.1939,432.8654,18.5297,8.9413,385.0366,1401.0624,429.9001,65.5343,307.1267,479.3397,16.4993,17.8993,472.4173,1788.7167
다사609481,131.5574,380.5325,435.3981,115.8733,186.0518,60.7181,299.02,1609.1512,152.7933,457.9095,455.8721,142.5984,263.9995,83.3373,427.1172,1983.6273,149.3181,443.0485,616.5753,110.1821,144.8248,87.2499,329.2318,1880.4305
다사610481,178.4666,366.5748,163.6886,121.6338,206.5771,345.4572,435.0273,1817.4254,117.0473,496.4261,233.7984,100.5277,294.0761,210.5772,487.981,1940.4338,154.7084,367.3446,171.5514,143.0664,193.1504,313.5437,354.0852,1697.4500999999998
다사610482,296.7421,377.9535,233.0146,165.6056,412.4406,300.0658,261.0682,2046.8904000000002,260.4218,381.2715,216.9271,96.4099,368.9299,189.8007,176.2505,1690.0113999999999,223.5325,327.0711,146.9115,173.7134,563.4968,186.9209,274.9715,1896.6177000000002
다사611481,233.1585,302.0117,99.6095,103.4889,119.4065,459.1528,414.1043,1730.9322000000002,311.7181,365.8446,96.7491,109.0407,63.5907,385.3464,338.1671,1670.4567000000002,280.9255,392.8034,145.1616,101.1014,66.6526,231.2017,480.6609,1698.5071000000003
다사611482,96.2423,15.2127,291.982,78.0297,90.0107,61.4119,24.8068,657.6961,108.8623,22.7559,271.4062,108.0467,111.6671,40.1625,16.0611,678.9618,121.636,10.9476,403.262,67.5614,50.7082,40.0145,20.1569,714.2866
다사611483,175.58,161.9708,105.5918,234.1447,59.3422,19.4925,179.9634,936.0853999999999,191.7073,100.6437,129.8186,204.1555,35.5943,25.0164,215.4897,902.4254999999999,251.1132,138.6818,149.5044,190.0924,50.0503,22.6982,250.9848,1053.1251
다사611484,334.4,108.0041,111.9867,382.4097,84.699,97.7779,89.1836,1208.461,364.1512,89.0466,159.1564,422.3439,62.2896,116.5349,58.5504,1272.0730000000003,455.1652,159.6089,75.5825,526.6645,110.6204,115.5078,45.7619,1488.9112
다사611485,421.3509,108.9276,361.9349,275.4435,156.3423,261.7619,285.741,1871.5021,600.0648,86.693,259.6271,308.7435,167.7319,310.1118,406.807,2139.7790999999997,234.094,90.0386,296.2417,179.9016,214.819,331.2325,364.7635,1711.0909
다사612480,342.378,340.9017,280.8241,74.3803,46.5477,24.6141,33.945,1143.5909000000001,286.556,479.4866,275.8312,56.4679,42.9948,22.6374,20.396,1184.3699000000001,501.5981,317.4705,238.353,96.5906,69.0916,25.8424,25.3964,1274.3426000000002
다사612481,155.5033,494.8626,424.5737,462.6027,205.9605,490.0936,95.3627,2328.9591,226.0569,734.7429,401.0705,472.7137,299.2075,256.2779,91.0749,2481.1443000000004,156.3233,653.4019,395.2028,364.6127,297.1566,340.7919,108.4028,2315.892
다사612482,177.6811,100.2781,466.575,499.6642,480.7163,94.592,406.8182,2226.3249,177.5646,66.8154,309.4524,732.8426,677.6662,120.461,566.7072,2651.5093999999995,199.5523,131.6144,453.6339,399.9106,536.2387,87.2141,429.6317,2237.7957
다사612483,222.236,466.448,39.0366,53.141,268.6729,302.2549,227.5312,1579.3206,136.0435,236.1147,22.6576,26.7791,322.9203,414.4983,219.1135,1378.127,145.3791,590.2726,29.6021,28.5029,361.1148,187.5019,225.8458,1568.2192
다사612484,285.1372,149.2008,368.5013,204.1471,464.0265,468.0995,492.9133,2432.0257,227.688,135.9023,309.4253,168.8937,321.3429,282.5116,289.4958,1735.2595999999999,156.1915,117.3377,369.4442,247.5928,338.1737,471.7361,404.6149,2105.0909
다사612485,104.3558,341.5402,170.8569,445.1815,291.7406,232.0618,190.1157,1775.8525000000002,65.9194,258.3348,90.832,339.3895,188.0756,300.3866,215.3658,1458.3037,68.522,499.3157,245.2196,288.5885,360.4567,180.6123,191.1981,1833.9129
다사612486,299.0442,442.6208,40.252,273.3947,244.6479,235.3908,410.4809,1945.8312999999998,158.5727,654.4878,44.5061,216.1969,139.1993,304.0546,377.7877,1894.8051,378.4785,243.7378,56.9954,151.0481,179.98,297.4588,538.3788,1846.0774000000001
다사612487,465.1944,410.7031,444.3238,170.5158,374.067,252.2523,203.2718,2320.3282000000004,304.8454,482.472,248.832,232.646,479.7292,305.6994,247.1859,2301.4098999999997,507.9447,576.4236,554.1946,231.6356,421.7132,264.6603,249.0978,2805.6698
다사613480,393.4824,293.0376,194.4621,130.6941,21.6862,163.1486,143.0059,1339.5169,288.1889,304.4086,276.2744,174.8389,16.1019,105.2335,115.193,1280.2392,436.3538,332.6421,271.2928,145.2096,19.0565,106.7829,175.9661,1487.3038
다사613481,184.8808,377.0689,480.9155,334.9458,296.5346,232.327,477.8363,2384.5089,173.8732,445.1981,310.2933,369.8196,345.7381,304.4513,543.7087,2493.0823,144.4408,282.0619,594.0933,173.7361,179.9351,292.5038,388.2456,2055.0166
다사613482,265.7773,419.1758,161.5136,37.985,255.0102,264.3459,49.7273,1453.5351,321.0308,461.5335,218.2506,35.8431,239.5268,270.1833,45.4843,1591.8524,179.8078,458.3759,238.4418,20.9254,311.6345,356.3854,42.8523,1608.4231
다사613483,400.4093,0.7923,336.7655,211.6002,54.4891,258.562,229.4683,1492.0866999999998,413.3985,0.7775,319.6903,304.9934,51.7418,155.4276,136.6713,1382.7004,347.6306,0.987,327.1584,227.949,66.4203,356.3784,232.1626,1558.6863000000003
다사613484,178.6369,216.7893,247.8417,182.5283,73.1245,45.8984,133.3676,1078.1867,128.9615,182.7042,292.2588,248.8054,59.6938,35.5449,148.3154,1096.284,205.9053,245.4642,341.7273,103.7952,59.1614,26.5161,104.5603,1087.1298000000002
