GID,CUSTOMER_CLASS,CUSTOMER_ADDR,A10,A20,A30,A40,A50,A60,X,TOTAL,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_X,WD_TOTAL,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_X,HD_TOTAL
다사611484,내국인,관내,16.1938,19.0502,79.2655,67.3312,62.8603,55.0842,0.0,299.7852,12.4546,11.6244,45.3887,50.8404,40.4269,37.7304,0.0,198.46540000000002,16.5138,21.9209,75.7822,81.8877,67.941,48.3694,0.0,312.415
다사611484,내국인,관외,67.319,42.3166,70.1228,21.1472,46.7781,37.1832,0.0,284.8669,97.7726,60.6431,47.8289,27.1165,44.8619,38.7124,0.0,316.9354,38.1472,35.5463,46.2654,16.0479,45.5923,33.3663,0.0,214.9654
다사611484,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,11.0421,11.0421,0.0,0.0,0.0,0.0,0.0,0.0,20.5357,20.5357,0.0,0.0,0.0,0.0,0.0,0.0,7.7223,7.7223
다사611485,내국인,관내,30.2359,89.8848,46.281,39.1808,30.6228,30.4128,0.0,266.6181,24.6067,47.8796,38.0345,32.9676,36.3792,23.7681,0.0,203.6357,30.2102,53.3648,24.1948,54.8983,36.0345,39.3979,0.0,238.1005
다사611485,내국인,관외,30.6835,31.5983,53.7672,90.0604,70.2543,30.9743,0.0,307.33799999999997,39.1482,18.2823,80.1585,113.2787,53.5362,39.0621,0.0,343.466,32.7546,36.5107,35.1124,123.5673,96.5735,27.1478,0.0,351.66630000000004
다사611485,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,9.2597,9.2597,0.0,0.0,0.0,0.0,0.0,0.0,27.3402,27.3402,0.0,0.0,0.0,0.0,0.0,0.0,27.2072,27.2072
다사612483,내국인,관내,0.5797,77.544,27.5361,66.6516,65.446,61.901,0.0,299.6584,0.586,109.643,23.2515,47.8023,47.7833,55.2313,0.0,284.2974,0.5085,62.8361,13.9778,69.6926,69.2819,77.0961,0.0,293.39300000000003
다사612483,내국인,관외,60.693,60.9465,19.7489,57.8917,40.6996,18.1328,0.0,258.1125,80.9467,63.7644,26.4755,74.5024,36.072,14.8871,0.0,296.6481,42.9933,68.7178,23.5832,75.5623,33.9127,13.0917,0.0,257.861
다사612483,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,31.5861,31.5861,0.0,0.0,0.0,0.0,0.0,0.0,20.6409,20.6409,0.0,0.0,0.0,0.0,0.0,0.0,15.6519,15.6519
다사612484,내국인,관내,89.8692,32.3398,52.631,73.2941,35.3413,79.9114,0.0,363.3868,114.2288,21.3562,48.7708,37.2734,36.9753,116.0603,0.0,374.6648,118.1251,34.2856,65.3254,96.4349,22.6816,118.9031,0.0,455.75570000000005
다사612484,내국인,관외,20.0858,41.7876,64.0593,30.7866,85.9653,80.0447,0.0,322.72929999999997,22.0486,45.0487,52.2106,22.4721,73.1917,117.2571,0.0,332.2288,22.9286,58.3927,83.2328,42.9336,44.621,54.4094,0.0,306.5181
다사612484,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,15.8367,15.8367,0.0,0.0,0.0,0.0,0.0,0.0,70.7194,70.7194,0.0,0.0,0.0,0.0,0.0,0.0,60.9252,60.9252
다사612484,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,26.7374,26.7374,0.0,0.0,0.0,0.0,0.0,0.0,32.2318,32.2318,0.0,0.0,0.0,0.0,0.0,0.0,8.1165,8.1165
다사612485,내국인,관내,19.5746,20.1479,82.1398,96.7957,86.9269,66.694,0.0,372.2789,28.2849,15.3758,74.4594,114.8618,53.699,44.0627,0.0,330.7436,19.9377,30.1427,90.338,124.1668,55.0197,38.5609,0.0,358.1658
다사612485,내국인,관외,38.2881,10.8099,25.3885,89.0859,79.7617,84.2343,0.0,327.56840000000005,21.6427,12.8369,13.8339,103.17,117.9032,73.1171,0.0,342.5038,38.3425,12.6604,22.2909,74.8014,55.9257,109.469,0.0,313.48990000000003
다사612485,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,73.2414,73.2414,0.0,0.0,0.0,0.0,0.0,0.0,50.6157,50.6157,0.0,0.0,0.0,0.0,0.0,0.0,24.0369,24.0369
다사612485,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,102.1597,102.1597,0.0,0.0,0.0,0.0,0.0,0.0,21.6116,21.6116,0.0,0.0,0.0,0.0,0.0,0.0,123.8679,123.8679
다사612486,내국인,관내,47.3301,15.0264,59.4441,27.0702,40.2958,61.4369,0.0,250.60350000000003,35.7974,8.2177,83.8086,20.0031,24.1765,82.2248,0.0,254.22809999999998,41.3779,15.6812,36.0097,36.3072,35.9367,90.1953,0.0,255.508
다사612486,내국인,관외,59.2824,96.0249,71.353,80.3765,64.3222,12.9989,0.0,384.3579,80.3848,82.2738,101.1965,106.0293,89.5686,8.0677,0.0,467.52070000000003,61.2038,75.9531,89.4157,82.9651,60.8173,12.67,0.0,383.02500000000003
다사612486,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,43.8547,43.8547,0.0,0.0,0.0,0.0,0.0,0.0,83.4515,83.4515,0.0,0.0,0.0,0.0,0.0,0.0,91.567,91.567
다사613483,내국인,관내,14.5356,99.4475,39.6209,88.6097,30.2229,35.8404,0.0,308.277,12.9281,61.8457,45.9898,62.7021,29.156,39.8976,0.0,252.5193,13.8211,142.2879,36.485,98.1277,37.0367,18.988,0.0,346.7464
다사613483,내국인,관외,42.0725,90.3599,50.0667,18.8221,53.233,96.864,0.0,351.4182,52.7827,108.2418,41.3709,24.4093,33.2314,94.0538,0.0,354.08989999999994,38.2542,58.0192,35.8108,26.8138,35.2369,102.3106,0.0,296.44550000000004
다사613483,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,27.6266,27.6266,0.0,0.0,0.0,0.0,0.0,0.0,171.4521,171.4521,0.0,0.0,0.0,0.0,0.0,0.0,109.477,109.477
다사613483,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,25.2834,25.2834,0.0,0.0,0.0,0.0,0.0,0.0,42.359,42.359,0.0,0.0,0.0,0.0,0.0,0.0,43.3603,43.3603
다사613484,내국인,관내,57.8097,21.1131,20.0253,65.9223,43.2874,80.3849,0.0,288.5427,80.8673,23.6822,16.5832,63.4299,56.1126,109.1668,0.0,349.842,64.9532,17.4997,12.8251,66.1529,33.012,40.6876,0.0,235.1305
