업소명,도로명주소,지번주소,전화번호,위도,경도,데이터기준일자
흥부농장,서울특별시 광진구 뚝섬로59길 81-2,서울특별시 광진구 자양동 624-25,02-3437-3611,37.5355225543,127.0827993482,2025-02-24
금강숯불생고기,서울특별시 광진구 용마산로7길 9,서울특별시 광진구 중곡동 124-3,02-3437-9599,37.5589856200,127.0870897000,2025-02-24
겨울나그네,서울특별시 광진구 능동로 147-1,서울특별시 광진구 화양동 2-47,02-498-3650,37.5440353858,127.0722219926,2025-02-24
홍천화로숯불갈비,서울특별시 광진구 천호대로110길 27,서울특별시 광진구 능동 223-45,02-454-9285,37.5559615574,127.0797545996,2025-02-24
이삭 홍두깨 칼국수,서울특별시 광진구 동일로72길 51,서울특별시 광진구 중곡동 192-30,02-464-8457,37.5653450400,127.0804683000,2025-02-24
보광식당,서울특별시 광진구 아차산로 341-1,서울특별시 광진구 자양동 774-15,02-456-3707,37.5373620252,127.0808653410,2025-02-24
종로식당,"서울특별시 광진구 아차산로 324, 107호",서울특별시 광진구 자양동 223-4,02-457-2411,37.5374179594,127.0787587346,2025-02-24
중국관,서울특별시 광진구 긴고랑로 39,서울특별시 광진구 중곡동 241-22,02-497-5276,37.5630759200,127.0806775000,2025-02-24
능라도분식,서울특별시 광진구 천호대로110길 50,서울특별시 광진구 능동 225-30,02-455-0322,37.5551457109,127.0790749192,2025-02-24
마니아우동,서울특별시 광진구 긴고랑로 25,서울특별시 광진구 중곡동 240-8,02-465-2587,37.5635316803,127.0792965708,2025-02-24
자양다방,서울특별시 광진구 자양로15길 100,서울특별시 광진구 자양동 612-26,,37.5347343377,127.0782045712,2025-02-24
채움,서울특별시 광진구 군자로 104-1,서울특별시 광진구 군자동 102-32,02-462-8859,37.5523503896,127.0716991414,2025-02-24
옥돌바베큐,서울특별시 광진구 군자로 138,서울특별시 광진구 군자동 64-9,02-3409-5577,37.5539659272,127.0746734674,2025-02-24
달디빈,서울특별시 광진구 능동로39길 11,서울특별시 광진구 중곡동 648-21,,37.5585293400,127.0794349000,2025-02-24
보리&치킨,서울특별시 광진구 군자로 175,서울특별시 광진구 군자동 474-36,,37.5563287732,127.0776378325,2025-02-24
고은별,서울특별시 광진구 자양로 177,서울특별시 광진구 구의동 254-12,02-453-4933,37.5434577400,127.0843365000,2025-02-24
석기시대짜장마을,서울특별시 광진구 군자로 111,서울특별시 광진구 군자동 130-52,02-467-7123,37.5529612679,127.0721399562,2025-02-24
무병장수한방삼계탕,서울특별시 광진구 자양번영로 65,서울특별시 광진구 자양동 227-324,02-444-9988,37.5354363044,127.0761406692,2025-02-24
오목대,서울특별시 광진구 동일로80길 23,서울특별시 광진구 중곡동 577-1,02-433-6692,37.5702682551,127.0811377099,2025-02-24
다비다식당,서울특별시 광진구 동일로 444,서울특별시 광진구 중곡동 181-13,02-466-1074,37.5697005600,127.0797764000,2025-02-24
세종원,서울특별시 광진구 광나루로 373,서울특별시 광진구 군자동 361-32,02-499-1800,37.5482417292,127.0715807985,2025-02-24
손수제치킨,서울특별시 광진구 군자로 129,서울특별시 광진구 군자동 150-14,02-465-0366,37.5538042040,127.0738042671,2025-02-24
